008.119	19902730	
008.120	19902635	
008.121	19902630	
008.122	19902632	
008.123	19962429	
008.124	19962502	
008.125	19962501	
008.126	19914809	
008.127	19936605	
008.128	19932432	
008.129	19932508	
008.130	19932032	
008.131	19932035	
008.132	19905735	
009.10	19945832	
009.11	19945831	
009.12	19945830	
009.13	19945829	
009.14	19945828	
009.15	19945827	
009.16	19945826	
009.17	19945825	
009.18	19945824	
009.19	19945823	
009.20	19945822	
009.21	19945821	
009.22	19945820	
009.23	19945819	
009.24	19945817	
009.25	19945816	
009.26	19945815	
009.27	19945814	
009.28	19945810	
009.29	19945807	
009.30	19945806	
009.31	19945804	
009.32	19945802	
009.33	19945636	
009.34	19945731	
009.35	19945728	
009.36	19945723	
009.37	19945724	
009.38	19945719	
009.39	19945722	
009.40	19945730	
009.41	19945720	
009.42	19945725	
009.43	19945624	
009.44	19945718	
009.45	19945623	
009.46	19945709	
009.47	19945708	
009.48	19945707	
009.50	19945706	
009.51	19945704	
009.52	19945703	
009.53	19945637	
009.54	19945629	
009.55	19945631	
009.56	19945630	
009.57	19945632	
009.58	19945635	
009.59	19945622	
009.60	19945619	
009.61	19945621	
009.62	19945517	
009.63	19945614	
009.64	19945612	
009.65	19945611	
009.66	19945610	
009.67	19945528	
009.68	19945527	
009.69	19945521	
009.70	19945520	
009.71	19945547	
009.72	19945516	
009.73	19945535	
009.74	19945534	
009.75	19945603	
009.76	19945513	
009.77	19945532	
009.78	19945533	
009.79	19945606	
009.80	19945511	
009.81	19955510	
009.82	19945509	
009.83	19945507	
009.84	19945506	
009.85	19945504	
009.86	19945503	
009.87	19945502	
009.88	19945501	
009.89	19945432	
009.90	19945428	
009.91	19945425	
009.92	19945418	
009.93	19945419	
009.94	19945420	
009.95	19944020	
009.96	19944019	
009.97	19944018	
009.98	19944013	
009.99	19944010	
009.100	19943936	
009.101	19943935	
009.102	19943334	
009.103	19943933	
009.104	19943932	
009.105	19943931	
009.106	19943928	
009.107	19943324	
009.108	19943820	
009.109	19943914	
009.110	19943910	
009.111	19943907	
009.112	19943919	
009.113	19943918	
009.114	19943916	
009.115	19943915	
009.116	19943913	
009.117	19943912	
009.118	19943904	
009.119	19943836	
009.120	19943833	
009.121	19943832	
009.122	19943831	
009.123	19943829	
009.124	19943828	
009.125	19943825	
