-	025.148
-	027.33
-	027.42
-	029.24
-	029.92
-	033.108
-	038.02
-	038.03
-	038.05
-	038.06
-	038.10
-	038.21
-	038.24
-	040.71
-	040.95
-	040.96
-	041.46
-	041.62
-	041.67
-	041.74
-	041.77
-	041.78
-	041.97
-	044.01
-	044.109
-	044.144
-	044.148
-	044.151
-	044.161
-	046.37
-	047.26
-	048.43
-	048.44
-	048.45
-	048.46
-	048.47
-	048.48
-	048.49
-	048.50
-	048.51
-	048.52
-	048.53
-	048.54
-	048.55
-	048.56
-	048.57
-	048.58
-	048.59
-	048.60
-	048.61
-	048.62
-	048.63
-	048.64
-	048.65
-	048.66
-	048.67
-	048.68
-	048.69
-	048.70
-	048.71
-	048.72
-	048.73
-	048.74
-	048.75
-	050.124
-	050.18
-	050.63
-	051.48
-	052.02
-	052.10
-	303.23
1-16	302.247
10-B-25	049.01
15B27	049.123
19900115	039.38
19900119	039.21
19900120	039.23
19900122	039.37
19900124	039.36
19900125	039.35
19900126	039.34
19900128	039.33
19900132	039.32
19900134	039.31
19900202	039.30
19900203	039.29
19900204	039.28
19900205	039.27
19900206	039.26
19900207	039.25
19900208	039.24
19900209	039.39
19900215	039.20
19900217	039.22
19900613	020.33
19901308	008.54
19901602	046.52
19901603	046.53
19901604	046.54
19901605	046.56
19901606	046.55
19901609	046.57
19901610	046.58
19901611	001.44
19901612	046.59
19901614	046.60
19901615	046.63
19901616	046.62
19901618	003.66
19901620	046.64
19901621	046.72
19901622	046.71
19901623	046.70
19901624	046.69
19901625	046.68
19901626	046.67
19901627	046.66
19901628	046.65
19901629	038.69
19901630	038.75
19901631	039.01
19901632	038.74
19901633	038.73
19901635	038.72
19901636	038.71
19901637	038.70
19901702	039.51
19901703	039.56
19901704	039.50
19901706	039.53
19901707	006.172
19901709	039.52
19901711	039.55
19901712	038.79
19901720	038.67
19901722	039.46
19901723	039.47
19902213	008.40
19902514	047.50
19902515	047.12
19902516	047.09
19902517	047.08
19902518	008.43
19902519	047.36
19902520	047.35
19902521	047.33
19902522	047.32
19902523	047.31
19902524	047.29
19902526	047.28
19902527	047.27
19902528	047.11
19902529	047.30
19902531	047.22
19902532	047.21
19902533	047.25
19902534	047.24
19902535	047.34
19902536	047.23
19902537	047.19
19902601	047.18
19902602	040.31
19902604	040.22
19902605	051.93
19902606	040.23
19902607	040.21
19902608	040.20
19902609	040.18
19902610	040.19
19902611	040.17
19902612	008.46
19902614	040.26
19902615	040.25
19902616	040.32
19902617	040.30
19902618	039.69
19902620	039.67
19902621	039.66
19902622	039.68
19902623	039.71
19902624	039.70
19902625	039.63
19902626	039.65
19902630	008.121
19902632	008.122
19902635	008.120
19902702	047.17
19902703	047.20
19902704	047.16
19902705	047.15
19902706	047.14
19902707	047.13
19902708	047.10
19902709	047.07
19902710	047.06
19902711	047.05
19902712	047.04
19902713	047.03
19902714	047.01
19902715	047.02
19902716	045.123
19902717	040.24
19902718	040.28
19902719	040.29
19902720	008.47
19902730	008.119
19903032	046.90
19903205	046.125
19903206	046.124
19903207	046.123
19903208	046.122
19903211	046.121
19903212	046.116
19903213	046.120
19903214	046.119
19903215	046.118
19903216	046.117
